"word","definition"
"prod","A device (now often electrical) used to goad livestock into moving."
"prog","(meteorology) To prognosticate; to forecast."
"psi","(uncountable, parapsychology, science fiction) A form of psychic energy."
"pst","Alternative form of psst."
"pta","Abbreviation of peseta."
"pud","(colloquial) Pudding (either sweet or savoury)."
"pupils","plural of pupil"
"pus","(medicine, pathology) A whitish-yellow or yellow substance composed primarily of dead white blood cells and dead pyogenic bacteria, normally found in regions of bacterial infection."
"rad","(metrology) A non-SI unit of absorbed dose of radiation, equal to 0.01 gray, that is, 1 centigray."
"rag","A piece of old cloth, especially one used for cleaning, patching, etc.; a tattered piece of cloth; a shred or tatter."
"raga","(countable, music) Any of various melodic forms used in Indian classical music, or a piece of music composed in such a form."
"rail","A horizontal bar extending between supports and used for support or as a barrier; a railing."
"raj","(South Asia) Reign; rule."
"raja","Alternative spelling of rajah."
"ram","(transitive) To seat a cartridge, projectile, or propellant charge in the breech of a firearm by pushing or striking."
"rank","A row of people or things organized in a grid pattern, often soldiers."
"rap","A lea or skein of yarn that forms the standard length taken from the reel, 80 yards of worsted or 120 yards of silk or cotton."
"raps","plural of rap"
"rat","(zoology) A medium-sized rodent belonging to the genus Rattus."
"rats","An expression of annoyance or disgust; damn, darn."
"raw","(sugar refining, sugar trade) An unprocessed sugar; a batch of such."
"rebut","To drive back or beat back; to repulse."
"recap","A tire that has had new tread glued on."
"recaps","plural of recap"
"red","(countable and uncountable) The colour of the setting sun, blood, and strawberries; the colour which is evoked by the longest visible wavelengths (between about 625–740 nm), and a primary additive colour."
"redan","A defensive fortification work in the shape of a V."
"redo","A repeated action; a doing again, refurbishment, etc."
"redraw","(computing, graphical user interface) An update to the screen display."
"reed","(countable) Any of various types of tall stiff perennial grass-like plants growing together in groups near water."
"reef","(nautical) A portion of a sail rolled and tied down to lessen the area exposed in a high wind."
"reel","A kind of spool, turning on an axis, on which yarn, threads, lines, or the like, are wound."
"ref","(informal, ambitransitive) To referee; to act as a referee in a sport or game."
"reffed","simple past and past participle of ref"
"reg","(geography) A hard surface of rock fragments set in a sandy matrix, found in some hot deserts; regolith, stony desert."
"regal","(music) An organ stop of the reed family, furnished with a normal beating reed, but whose resonator is a fraction of its natural length. In the 16th and 17th centuries these stops took a multitude of forms. Today only one survives that is of universal currency, the so-called vox humana."
"regnal","Of or pertaining to the reign of a monarch (or pope)."
"reined","simple past and past participle of rein"
"reknit","To knit again."
"relaid","simple past and past participle of relay (“lay again”)"
"relive","(transitive) To experience (something) again; to live over again."
"remark","An act of pointing out or noticing; notice or observation."
"remit","(chiefly British) Terms of reference; set of responsibilities; scope."
"rennet","An enzyme used as the first step in making cheese, to curdle the milk and coagulate the casein in it, derived by soaking the fourth stomach of a milk-fed calf in brine."
"rep","(textiles) A fabric made of silk or wool, or of silk and wool, and having a transversely corded or ribbed surface."
"repaid","simple past and past participle of repay"
"repel","(transitive) To cause repulsion or dislike in; to disgust."
"res","plural of re"
"resat","simple past and past participle of resit"
"resew","Alternative spelling of re-sew."
"retool","(transitive) To adjust; to optimize; to rebuild."
"retrad","(anatomy) backward"
"retros","plural of retro"
"rets","third-person singular simple present indicative of ret"
"reval","(travel, aviation, informal) A revalidated ticket."
"revel","To make merry; to have a happy, lively time."
"reviled","simple past and past participle of revile"
"reward","Something of value given in return for an act."
"ria","(geography) A narrow inlet of the sea formed by a flooded unglaciated river valley."
"rial","The official currencies of Iran, Oman, and Yemen."
"rid","Followed by of: to free (oneself or someone, or a place) from an annoyance or hindrance."
"rif","Alternative letter-case form of RIF."
"rim","(transitive) To follow the contours, possibly creating a circuit."
"rime","White hair as an indication of old age."
"rimy","Coated in rime."
"rob","A syrup made of evaporating fruit juice over a fire, usually mixed with sugar or honey, and especially used for medicinal purposes."
"roc","An enormous mythical bird in Eastern legend."
"rod","A straight, round stick, shaft, bar, cane, or staff."
"roger","(radio telecommunications, procedure word) Received (used in radio communications to acknowledge that a message has been received and understood)"
"rok","Alternative form of roc."
"rolf","(transitive) To apply the Rolfing massage technique to."
"roma","Alternative letter-case form of Roma (“a variety of tomato”)."
"ron","(slang) heroin"
"rood","A measure of land area, equal to a quarter of an acre."
"room","(uncountable) Space for something, or to carry out an activity."
"rot","(intransitive) To suffer decomposition due to biological action, especially by fungi or bacteria."
"rots","third-person singular simple present indicative of rot"
"rub","(transitive) To spread a substance thinly over; to smear."
"rue","(transitive) To repent of or regret (some past action or event); to wish that a past action or event had not taken place."
"rug","(UK, Australia) A (usually thick) piece of fabric used for warmth (especially on a bed); a blanket."
"rya","A Scandinavian knotted-pile woollen rug, used as bed-cover and tapestry."
"saba","(cooking) A sweet grape syrup made from grape must"
"sag","To sink, in the middle, by its weight or under applied pressure, below a horizontal line or plane."
"said","Mentioned earlier; aforesaid."
"sail","To be impelled or driven forward by the action of wind upon sails, as a ship on water; to be impelled on a body of water by steam or other power."
"sakis","plural of saki"
"sal","Shorea robusta, a dipterocarpaceous tree."
"sam","(slang) Federal narcotics agent."
"sap","(transitive) To make unstable or infirm; to unsettle; to weaken."
"saps","plural of sap"
"sari","The traditional dress of women in the Indian Subcontinent; an outer garment consisting of a single length of cotton or silk, most often with one end wrapped around the waist to form a skirt, the other draped over the shoulder or head."
"sate","(transitive) To satisfy the appetite or desire of; to fill up."
"saw","(usually) Such a tool with a toothed blade."
"scam","Something that is promoted using scams."
"scram","(intransitive, originally US, often imperative) To leave in a hurry; to go away."
"secret","(countable) A piece of knowledge that is hidden and intended to be kept hidden."
"seel","(falconry) To sew together the eyelids of a young hawk."
"seep","(intransitive) To ooze or pass slowly through pores or other small openings, and in overly small quantities; said of liquids, etc."
"sega","(music) A genre of popular music mainly associated with Mauritius."
"seined","simple past and past participle of seine"
"selah","(Christianity) A pause or rest of a contemplative nature."
"sem","Clipping of seminary."
"sep","Abbreviation of sepal."
"ser","Abbreviation of serial."
"serif","(typography) A short line added to the end of a stroke in traditional typefaces, such as Times New Roman."
"seton","(medicine, agriculture) A few silk threads or horsehairs, or a strip of linen etc., introduced beneath the skin by a knife or needle, so as to induce suppuration; also, the issue so formed."
"shad","Any one of several species of food fishes that make up the genus Alosa in the family Clupeidae, to which the herrings also belong; river herring."
"shh","Comforting one who is crying."
"shoo","(transitive, informal) To induce someone or something to leave."
"sib","A kinsman; a blood relation; a relative, near or remote; one closely allied to another; an intimate companion."
"sid","(slang) sadiki"
"sikas","plural of sika"
"silos","plural of silo"
"sima","(architecture) The upturned edge of a roof which acts as a gutter; a cyma."
"sinned","simple past and past participle of sin"
"sip","An event at which people drink alcohol in small, usually subintoxicating amounts."
"sire","(transitive, of a male) To father; to beget."
"siva","Any of various birds formerly of genus Siva, now part of genus Actinodura, of barwings."
"six","(cricket) An event whereby a batsman hits a ball which does not bounce before passing over a boundary in the air, resulting in an award of 6 runs for the batting team."
"skua","Any of various predatory seabirds of the genus Stercorarius that often chase other seabirds to steal their catches."
"skuas","plural of skua"
"slag","Scum that forms on the surface of molten metal."
"slap","(countable) A blow, especially one given with the open hand, or with something broad and flat."
"sleek","(transitive) To make smooth or glossy; to polish."
"sleep","(uncountable) The state of reduced consciousness during which a human or animal rests in a daily rhythm."
"sleets","third-person singular simple present indicative of sleet"
"slim","A type of cigarette substantially longer and thinner than normal cigarettes."
"slipup","Alternative form of slip-up."
"sloop","(nautical) A single-masted sailboat with only one headsail."
"sloops","plural of sloop"
"slop","(transitive) To spill or dump liquid upon; to soil with a spilled liquid."
"smart","(intransitive) To feel a pungent pain of mind; to feel sharp pain or grief; to be punished severely; to feel the sting of evil."
"smug","Irritatingly pleased with oneself; offensively self-complacent, self-satisfied."
"smut","(uncountable) Sexually vulgar material; something that is sexual in a dirty way; pornographic material."
"snap","(intransitive, transitive) To fracture or break apart suddenly."
"snaps","plural of snap"
"snip","To cut with short sharp actions, as with scissors."
"snips","shears; hand tools used to cut sheet metal and other tough webs"
"snit","A U.S. unit of volume for liquor equal to 2 jiggers, 3 U.S. fluid ounces, or 88.7 milliliters."
"snoop","To secretly spy on or investigate, especially into the private personal life of others."
"snoops","plural of snoop"
"snot","(informal, uncountable, sometimes slightly vulgar) Mucus, especially mucus from the nose."
"snub","(transitive) To slight, ignore or behave coldly toward someone."
"snug","(British) A small, comfortable back room in a pub."
"soc","(UK, university slang) A society (circle, club, interest group)."
"sod","(uncountable) The stratum of the surface of the soil which is filled with the roots of grass, or any portion of that surface; turf; sward."
"sol","(astronomy) A solar day on the planet Mars (equivalent to 24 hours, 39 minutes, 35 seconds)."
"soled","(in combination) Having a specified kind of sole."
"som","The currency of Kyrgyzstan. Symbol: ⃀."
"soma","(by extension, science fiction) Any kind of intoxicating drug."
"somas","plural of soma"
"some","An indefinite amount; a part. Used mostly with abstract and nonliving objects."
"son","A male person considered to have been significantly shaped by social conflict."
"sone","(acoustics) a subjective unit of loudness for an average listener equal to the loudness of a 1000-hertz sound that has an intensity 40 decibels above the listener's own threshold of hearing"
"sonnet","A fixed verse form of Italian origin consisting of fourteen lines that are typically five-foot iambics and rhyme according to one of a few prescribed schemes."
"sop","A piece of solid food to be soaked in liquid food."
"sorb","Any of various related trees, including the wild service tree, S. torminalis, and the rowan, S. aucuparia."
"sore","An injured, infected, inflamed or diseased patch of skin."
"sorter","A person employed to sort."
"spacer","An object inserted to hold a space open in a row of items, e.g. beads or printed type."
"spam","(uncountable, computing, Internet) Any undesired electronic content automatically generated for commercial purposes."
"span","(by extension) A small space or a brief portion of time."
"spank","An instance of spanking, separately or part of a multiple blows-beating; a smack, swat, or slap."
"spans","plural of span"
"spar","To fight, especially as practice for martial arts or hand-to-hand combat."
"spas","plural of spa"
"spat","The spawn of shellfish, especially oysters and similar molluscs."
"spay","(transitive) To destroy or remove the ovaries or uterus (of a female animal) to prevent pregnancy."
"speed","The state of moving quickly or the capacity for rapid motion."
"spin","(transitive) To make yarn by twisting and winding fibers together."
"spins","vertigo"
"spit","A thin metal or wooden rod on which meat is skewered for cooking, often over a fire."
"spool","A reel; a device around which thread, wire or cable is wound, especially a cylinder or spindle."
"spools","plural of spool"
"spoons","A child's card game."
"sports","Synonym of sport (“the class of physical activies; athletics”)."
"spot","A round or irregular patch on the surface of a thing having a different color, texture etc. and generally round in shape."
"spots","plural of spot"
"sprat","Any of various small, herring-like, marine fish in the genus Sprattus, in the family Clupeidae."
"sprits","plural of sprit"
"sta","Abbreviation of station."
"stab","An act of stabbing or thrusting with an object."
"stag","(countable) An adult male deer, especially a red deer and especially one in high adulthood versus a young adult."
"stang","(Wicca, paganism) A forked ritual staff."
"star","Any small, natural and bright dot in the sky, most visible in the night or twilight sky. This sense includes the planets, but it is now sometimes used in exclusion of them due to influence from the technical astronomical sense."
"stat","(medicine) With no delay; at once."
"std","(computing) Standard library."
"steels","(with ""the"") skates"
"step","An advance or movement made from one foot to the other; a pace."
"stet","A symbol used by proofreaders and typesetters to indicate that a word or phrase that was crossed out or changed should remain as it was."
"stew","(Scotland and England) A cloud of fine particles or droplets; dust, smoke, vapor, mist, or sea-spray."
"stink","(intransitive) To give an impression of dishonesty, untruth, or sin."
"stirps","A progenitor of a branch of a family."
"stob","A small post for supporting paling."
"stool","(agriculture) To ramify; to tiller, as grain; to shoot out suckers."
"stop","A (usually marked) place where buses, trams or trains halt to let passengers get on and off, usually smaller than a station."
"stops","plural of stop"
"stows","third-person singular simple present indicative of stow"
"strap","A long, narrow, pliable strip of leather, cloth, or the like."
"straw","(countable) A dried stalk of a cereal plant."
"stressed","Suffering stress (either physical or mental)."
"stria","A stripe, usually one of a set of parallel stripes."
"strop","A strap; more specifically a piece of leather or a substitute (notably canvas), or strip of wood covered with a suitable material, for honing a razor."
"strops","plural of strop"
"stu","(slang, rap) Clipping of studio."
"stub","Something blunted, stunted, or cut short, such as stubble or a stump."
"stun","(transitive) To incapacitate; especially by inducing disorientation or unconsciousness."
"sub","(microscopy) To prepare (a slide) with a layer of transparent substance to support and/or fix the sample."
"sued","simple past and past participle of sue"
"sum","A summary; the principal points or thoughts when viewed together; the substance."
"sumac","Any of various shrubs or small trees of the genus Rhus and certain other genera in Anacardiaceae."
"sun","(astronomy) A star, especially when seen as the centre of any single solar system."
"sung","past participle of sing"
"sup","A sip; a small amount, of food or drink, water or rain."
"surg","Abbreviation of surgery."
"swam","simple past of swim"
"swap","(transitive) To exchange or give (something) in an non-normal exchange (for something else)."
"sward","(countable) An expanse of land covered in grass; a lawn or meadow."
"swat","(transitive) To beat off, as insects; to bat, strike, or hit."
"sway","(intransitive) To move or swing from side to side; or backward and forward; to rock."
"swot","One who swots; a boffin, nerd, or smart aleck."
"swots","plural of swot"
"tab","A small flap or strip of material attached to or inserted into something, for holding, manipulation, identification, opening etc."
"tad","(informal) A small amount; a little bit."
"tag","Something mean and paltry; the rabble, originally refer to rag as torn cloth."
"tam","Synonym of picul, a unit of weight, particularly in Cantonese contexts."
"tan","A darkening of the skin resulting from exposure to sunlight or similar light sources."
"tana","The banxring or tree shrew."
"tang","A strong or offensive taste; especially, a taste of something extraneous to the thing itself."
"tao","(by extension) The art or skill of doing something in harmony with the essential nature of the thing."
"tap","A light blow or strike with a clear sound; a gentle rap; a pat; also, the sound made by such a blow or strike."
"taps","(military) A signal, by drum or trumpet, for extinguishing all lights in soldiers' quarters and retiring to bed, usually given about a quarter of an hour after tattoo; the signal is sometimes also given during the funeral of a soldier."
"tar","A Persian long-necked, waisted string instrument, shared by many cultures and countries in the Middle East and the Caucasus."
"tarp","To cover something with a tarpaulin."
"tarps","plural of tarp"
"taser","(figuratively) To strike verbally or gesturally with ill intents."
"tats","plural of tat"
"taw","A favorite marble in the game of marbles."
"taws","Alternative spelling of tawse."
"teem","To be prolific; to abound; to be rife."
"tel","Abbreviation of telephone number."
"ten","(in the plural) An inexact quantity, typically understood to be between 20 and 100."
"tenner","(informal, UK, Ireland) A monetary note (bill) whose face value is ten basic units of currency. Originally, a ten-shilling (half pound) note."
"tennos","plural of tenno"
"tenon","A projecting member left by cutting away the wood around it, and made to insert into a mortise, and in this way secure together the parts of a frame."
"terces","plural of terce"
"terf","Alternative letter-case form of TERF."
"tets","plural of tet"
"tia","Initialism of Telecommunications Industry Association."
"tic","(neurology) A sudden, nonrhythmic motor movement or vocalization."
"tide","The daily fluctuation in the level of the sea caused by the gravitational influence of the moon and the sun."
"tier","A row or range, especially one at a higher or lower level than another."
"til","Any of species Ocotea foetens in family Lauraceae, native to Madeira and the Canary Islands."
"time","(uncountable) The inevitable progression into the future with the passing of present and past events."
"timed","Happening at a certain time."
"timer","A device used to measure amounts of time."
"tin","(countable) A metal pan used for baking, roasting, storing food, etc."
"tinker","An itinerant tinsmith and mender of household utensils made of metal."
"tins","plural of tin"
"tip","The extreme end of something, especially when pointed; e.g. the sharp end of a pencil."
"tips","(Australia, playground games, uncountable) tag (a popular children's chasing game)"
"tod","An old English measure of weight, usually of wool, containing two stone or 28 pounds (13 kg)."
"tog","A tautog, a large wrasse native to the eastern coast of North America."
"toile","a draft garment made of inexpensive cloth for the purposes of fitting and design evaluation"
"tom","The male of the domesticated cat, especially if not neutered."
"ton","(figuratively) Any large, excessive, or overwhelming amount of anything."
"tons","plural of ton"
"tool","Any physical device meant to ease or do a task."
"top","(irrespective of present orientation) The part of something that is usually highest or uppermost."
"toped","simple past and past participle of tope"
"tops","(darts) The uppermost field of a dartboard; the double-20 field"
"tor","(geology) A craggy outcrop of rock on the summit of a hill, created by the erosion and weathering of rock."
"tort","(law) A wrongful act, whether intentional or negligent, regarded as non-criminal and unrelated to a contract, which causes an injury and can be remedied in civil court, usually through the awarding of damages."
"tow","The act of towing and the condition of being towed."
"tows","plural of tow"
"trad","(music) Irish traditional music"
"tram","(weaving) A silk thread formed of two or more threads twisted together, used especially for the weft, or cross threads, of the best quality of velvets and silk goods."
"trams","plural of tram"
"trap","A machine or other device designed to catch (and sometimes kill) animals, either by holding them in a container, or by catching hold of part of the body."
"treble","(music) Pertaining to the highest singing voice or part in harmonized music."
"trebled","simple past and past participle of treble"
"trod","A track or pathway."
"trot","A gait of a person or animal faster than a walk but slower than a run."
"tsp","Abbreviation of teaspoon, a unit of measurement."
"tub","A flat-bottomed vessel, of width similar to or greater than its height, used for storing or packing things, or for washing things in."
"tuba","A large brass musical instrument, usually in the bass range, played through a vibration of the lips upon the mouthpiece and fingering of the keys."
"tubed","Possessing a tube or tubes."
"tuber","A fleshy, thickened underground stem of a plant, usually containing stored starch, for example a potato or arrowroot."
"tug","(transitive) To pull or drag with great effort."
"tum","shortened form of tummy"
"tums","plural of tum"
"tun","A large cask; an oblong vessel bulging in the middle, like a pipe or puncheon, and girt with hoops; a wine cask. (See a diagram comparing cask sizes.)"
"twp","(Wales) A fool."
"uts","plural of ut"
"vac","To vacuum; to clean with a vacuum cleaner."
"val","(informal) Valium."
"van","(aerospace) A large towable vehicle equipped for the repair of structures that cannot easily be moved."
"veg","(psychology) A unit of subjective weight, equivalent to the perceived weight of lifting 100 grams."
"vel","(logic) The ∨ symbol used to represent the inclusive or, which is a logical connective."
"ven","Abbreviation of venerable."
"vic","(law enforcement, slang) A victim of a homicide."
"wad","To crumple or crush into a compact, amorphous shape or ball."
"wang","(transitive) To throw hard."
"war","(uncountable) Organized, large-scale, armed conflict between countries or between national, ethnic, or other sizeable groups, usually but not always involving active engagement of military forces."
"ward","(fencing) A guarding or defensive motion or position."
"warder","One who or that which wards or repels."
"warts","plural of wart"
"was","(now colloquial) Used in phrases with existential there when the semantic subject is (usually third-person) plural."
"wat","A Buddhist temple in Southeast Asia, especially those in Thailand, Laos, and Cambodia."
"way","A road, a direction, a (physical or conceptual) path from one place to another."
"wed","(transitive) To perform the marriage ceremony for; to join in matrimony."
"wen","A cyst on the skin; a tumor or wart."
"wets","plural of wet"
"wolf","(countable) Canis lupus; the largest wild member of the canine subfamily."
"won","The currency of Korea, worth 100 jun in North Korea and 100 jeon in South Korea."
"wonk","(derogatory, informal) An overly studious person, particularly a student."
"wop","(ethnic slur) An person of Italian descent."
"wort","(brewing, distilling) Also worts: a liquid extracted from mash (ground malt or some other grain soaked in hot water), which is then fermented to make beer, or fermented and distilled to make a malt liquor such as whisky."
"wot","first-person singular present indicative of wit"
"xis","plural of xi"
"yah","(US, UK, India, South Africa, Australia, New Zealand, Singapore, Malaysia) Yes."
"yak","An ox-like mammal native to the Himalayas, Mongolia, Myanmar, and Tibet with dark, long, and silky hair, a horse-like tail, and a full, bushy mane."
"yam","The edible, starchy, tuberous root of that plant, a tropical staple food."
"yap","(countable) The high-pitched bark of a small dog, or similar."
"yaps","plural of yap"
"yard","A small, usually uncultivated area adjoining or (now especially) within the precincts of a house or other building."
"yaw","A single tumor in the disease called yaws."
"yaws","(pathology) A contagious tropical disease, caused by the spirochete Treponema pertenue, characterized by yellowish or reddish tumors, which often resemble berries."
"yob","(derogatory, chiefly UK, Ireland, Commonwealth, slang) A person who engages in antisocial behaviour or drunkenness."
